[14304:10680:0917/104108.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[14304:12392:0917/104108.426:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[14304:10680:0917/104108.552:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[16192:16164:0917/104128.015:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-B32786BA402EA52AB1D655A4DB75EE5D will be ignored
[14304:15048:0917/105721.881:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[1508:11828:0917/143449.002:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[1508:11828:0917/143449.008:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[1508:11828:0917/143449.008:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[1508:11828:0917/143449.067:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[1508:11828:0917/143449.067:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[1508:11828:0917/143449.067:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[14304:15048:0917/143450.335:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143451.336:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143452.336:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143453.336:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143454.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143455.336:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143457.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143458.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143506.339:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143507.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=78})
[14304:15048:0917/143509.338:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=79})
[14304:15048:0917/143512.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=80})
[14304:15048:0917/143514.338:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=81})
[14304:15048:0917/143515.338:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=82})
[14304:15048:0917/143517.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=81})
[14304:15048:0917/143518.338:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=80})
[14304:15048:0917/143520.339:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=79})
[14304:15048:0917/143522.338:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=78})
[14304:15048:0917/143523.338:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143525.339:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143528.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143530.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143531.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143533.339:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143535.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143537.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143538.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143539.340:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=73})
[14304:15048:0917/143540.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143542.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143543.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143547.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143548.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143550.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143553.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=77})
[14304:15048:0917/143603.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143607.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143611.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
[14304:15048:0917/143613.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=75})
[14304:15048:0917/143617.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=76})
[14304:15048:0917/143618.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000011A4000BED40}, {new_limit=74})
