[10856:21776:0925/231627.332:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[10856:35964:0925/231627.428:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[10856:21776:0925/231627.481:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[18568:29708:0925/231633.452:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-19112CD5489FB322FF759EF04C19FF27 will be ignored
[10856:7428:0925/231635.586:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[10856:7428:0926/005458.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=75})
[10856:7428:0926/005459.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=74})
[10856:7428:0926/005500.074:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=75})
[10856:7428:0926/005501.074:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=76})
[10856:7428:0926/005502.074:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=77})
[10856:7428:0926/005503.074:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=76})
[10856:7428:0926/005504.077:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=77})
[10856:7428:0926/005507.410:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=78})
[10856:7428:0926/005508.408:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=77})
[10856:7428:0926/005510.408:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=76})
[10856:7428:0926/005512.408:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=75})
[10856:7428:0926/005514.412:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=73})
[10856:7428:0926/005516.409:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=71})
[10856:7428:0926/005518.410:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=70})
[10856:7428:0926/005519.410:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=71})
[10856:7428:0926/005520.411:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=70})
[10856:7428:0926/005531.410:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=69})
[10856:7428:0926/005532.409:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=70})
[10856:7428:0926/005533.410:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=69})
[10856:7428:0926/005537.412:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=70})
[10856:7428:0926/005538.412:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006114022F6D40}, {new_limit=69})
